PatchID,X,Y
1,991149.8214,4876444.618
2,989950.8374,4877119.024
3,988994.4403,4877105.497
4,985510.8267,4876047.518
5,984117.8804,4874934.092
6,982280.4574,4874132.022
7,980487.4147,4873505.448
8,978768.4474,4873705.375
9,975645.3524,4873995.503
10,973291.4529,4874246.559
11,972095.4711,4874103.926
12,967421.3329,4873333.493
13,963376.5957,4876691.76
14,962699.2219,4878169.411
15,962467.3185,4879296.757
16,961576.8669,4879703.723
17,960458.3776,4879281.003
18,959379.8665,4878319.125
19,989115.8375,4882721.644
20,988330.3132,4883171.068
21,987585.7823,4884021.737
22,986980.6455,4884578.181
23,985733.3594,4885134.139
24,984978.4018,4885601.537
25,984069.6803,4886244.97
26,983194.2237,4887078.125
27,982765.218,4887483.624
28,981989.6704,4887918.376
29,980612.369,4887482.366
30,979888.4818,4887640.266
31,977606.4267,4887373.137
32,976673.1016,4887289.99
33,974549.2158,4886021.261
34,972355.0786,4885286.456
35,970166.2587,4883593.054
36,967349.4595,4881684.014
37,965797.9261,4880918.805
38,965163.4883,4881919.887
39,964171.0662,4881444.255
40,962959.4701,4882194.178
41,962402.6261,4881983.495
42,960880.3139,4881245.018
43,959187.5229,4879800.44
44,954339.0242,4851133.678
45,953511.0846,4851648.434
46,952505.3516,4852332.253
47,950893.6848,4852912.412
48,949663.1842,4853440.236
49,948142.4141,4853846.854
50,946948.8625,4854416.658
51,946269.2208,4854942.705
52,945967.7303,4855689.81
53,946044.7992,4856650.07
54,945769.9537,4857586.611
55,945815.6562,4859014.034
56,946112.2318,4861787.902
57,947336.6141,4863385.725
58,947436.2615,4864813.779
59,947252.2732,4866872.797
60,947244.5464,4868252.87
61,946736.352,4869249.175
62,946490.0222,4869646.696
63,946237.2303,4870606.257
64,946186.3221,4871594.893
65,945795.5007,4874372.114
66,945044.9237,4875047.663
67,944729.8645,4876587.632
68,990733.1379,4855115.625
69,988831.4501,4855563.829
70,987750.6002,4855215.076
71,986134.4956,4854619.156
72,982274.5258,4853089.003
73,980847.7962,4853096.176
74,978982.5934,4852876.104
75,977997.9943,4852719.661
76,976753.9219,4852753.062
77,975372.7502,4852813.656
78,973489.4426,4853022.564
79,971864.8728,4853225.782
80,971176.2453,4852883.112
81,987188.8429,4849428.607
82,984841.264,4848684.806
83,981333.9785,4848838.938
84,978692.5349,4850100.198
85,976881.182,4849342.954
86,973628.7634,4848366.104
87,972280.3252,4848141.351
88,970782.5748,4848691.464
89,970775.5207,4849200.858
90,970259.5099,4849559.851
91,986710.6488,4846043.335
92,985757.332,4845949.407
93,983036.6635,4845273.743
94,981925.3282,4844298.01
95,981504.832,4843470.267
96,980372.8051,4842775.365
97,978669.1185,4841806.55
98,957365.6793,4858223.965
99,958745.0263,4856557.119
100,960086.4568,4856869.967
101,962251.4777,4857876.523
102,962932.9624,4858670.237
103,963050.3115,4860158.598
104,963278.1627,4861116.249
105,963919.0017,4862836.28
106,964986.1614,4863717.857
107,959028.9541,4853149.607
108,959224.985,4854583.122
109,967891.2883,4840820.14
110,970207.2582,4841838.352
111,970441.1948,4843887.94
112,964990.3199,4851885.302
113,966213.7443,4852668.83
114,966847.0398,4854329.51
115,967488.0535,4856749.349
116,960186.9415,4851503.005
117,962470.2996,4851893.696
118,961986.3407,4848234.324
119,961982.4869,4849887.961
120,962530.7833,4850844.632
121,942067.1072,4854601.433
122,939912.5688,4852661.793
123,938646.4346,4852368.014
124,937832.8161,4852486.576
125,936894.5213,4853629.325
126,935529.7204,4853673.748
127,933068.9055,4853761.767
128,932230.8435,4854853.942
129,931567.3404,4855919.098
130,931757.9137,4858300.104
131,931861.6254,4859949.128
132,932942.064,4862482.153
133,933303.871,4863689.083
134,930288.3835,4868548.17
135,926504.1228,4869371.346
136,989587.886,4844787.52
137,989727.4451,4842094.001
138,987768.0135,4840723.283
139,986396.0259,4840796.033
140,983552.5575,4840724.178
141,981852.5087,4840812.485
142,980675.0306,4840593.541
143,990613.2048,4872531.201
144,990201.6396,4873783.767
145,989380.7945,4874272.839
146,988630.0085,4874644.96
147,986247.7474,4873699.941
148,984820.9667,4873094.437
149,983536.1014,4872389.635
150,981792.1031,4871419.507
151,981052.9422,4870791.497
152,979474.7425,4869723.956
153,977834.0557,4869006.664
154,976100.6097,4868894.202
155,974325.3764,4869023.615
156,972614.5415,4868595.954
157,959776.2357,4862951.726
158,961042.9959,4863614.11
159,962981.9868,4863956.824
160,963845.6984,4864237.144
161,957286.6206,4862584.279
162,958856.2478,4862594.704
163,956058.2576,4858672.42
164,956980.2503,4859188.264
165,957603.5631,4859940.497
166,958116.9097,4861039.781
167,958828.4141,4862287.133
168,991581.705,4867520.262
169,988942.5813,4868204.179
170,988003.4913,4868459.809
171,986699.4236,4868726.956
172,985552.7693,4869464.26
173,982348.7809,4868982.124
174,980985.9361,4868482.049
175,978376.8987,4867452.958
176,977070.7614,4866957.783
177,975184.1963,4867070.718
178,973417.5224,4866848.931
179,972000.9623,4866824.41
180,969728.539,4866166.59
181,966291.6053,4864892.863
182,991946.2485,4858830.812
183,991271.4413,4859980.908
184,991044.2437,4860894.559
185,990186.1656,4862202.143
186,988600.4665,4862721.749
187,986582.4237,4862610.377
188,985325.2428,4862506.201
189,983885.5363,4862548.038
190,982207.8033,4862487.253
191,979162.6609,4861129.087
192,977854.0336,4859860.132
193,976570.2264,4858580.842
194,975390.6689,4857211.175
195,974981.8894,4856569.875
196,974174.9692,4856169.546
197,973267.3598,4855456.057
198,971779.1559,4855130.066
199,970949.1864,4854703.995
200,985185.588,4835450.756
201,984055.7854,4836424.667
202,982113.4211,4837723.756
203,978753.6286,4841357.032
204,976621.1346,4842930.133
205,975461.0238,4843825.032
206,974803.9556,4844410.74
207,972238.3172,4845340.257
208,971748.4826,4846014.491
209,970700.3405,4846974.912
210,969924.5017,4845970.408
211,969839.2089,4847070.639
212,969914.8324,4848456.542
213,970012.789,4849412.431
214,970108.8546,4851175.664
215,970410.3512,4853815.122
216,969743.0584,4855358.825
217,968191.3098,4857074.902
218,967638.485,4858453.663
219,966933.945,4860205.128
220,966548.6607,4861328.867
221,966638.2734,4863072.714
222,965738.0735,4863479.063
223,964763.8757,4865617.108
224,964342.8116,4866362.008
225,963926.6169,4867936.097
226,962142.7849,4870899.47
227,962039.752,4873275.652
228,960468.1426,4875017.526
229,958838.2389,4877949.639
230,957587.2856,4878932.356
231,956014.3477,4879252.91
232,953430.9889,4881291.17
233,951666.9341,4880413.527
234,947626.979,4877064.071
235,945431.6802,4877563.592
236,941952.7364,4878882.82
237,939906.2195,4877755.454
238,938597.6564,4876708.779
239,936075.2081,4875894.301
240,934438.8283,4877916.598
241,932131.8988,4876564.007
242,930830.2747,4875753.487
243,927180.4215,4874198.123
244,925734.8178,4870923.097
245,923138.6539,4873538.774
246,918190.0461,4871985.976
