Allele List,Frequency
L0.A,0
L0.a,1
L0.3,0
L0.4,0
L0.5,0
L0.6,0
L0.7,0
L0.8,0
L0.9,0
L0.10,0
L0.11,0
L0.12,0
L0.13,0
L0.14,0
L0.15,0
L0.16,0
L0.17,0
L0.18,0
L0.19,0
L0.20,0
L1.1,0.05
L1.2,0.05
L1.3,0.05
L1.4,0.05
L1.5,0.05
L1.6,0.05
L1.7,0.05
L1.8,0.05
L1.9,0.05
L1.10,0.05
L1.11,0.05
L1.12,0.05
L1.13,0.05
L1.14,0.05
L1.15,0.05
L1.16,0.05
L1.17,0.05
L1.18,0.05
L1.19,0.05
L1.20,0.05
L2.1,0.05
L2.2,0.05
L2.3,0.05
L2.4,0.05
L2.5,0.05
L2.6,0.05
L2.7,0.05
L2.8,0.05
L2.9,0.05
L2.10,0.05
L2.11,0.05
L2.12,0.05
L2.13,0.05
L2.14,0.05
L2.15,0.05
L2.16,0.05
L2.17,0.05
L2.18,0.05
L2.19,0.05
L2.20,0.05
L3.1,0.05
L3.2,0.05
L3.3,0.05
L3.4,0.05
L3.5,0.05
L3.6,0.05
L3.7,0.05
L3.8,0.05
L3.9,0.05
L3.10,0.05
L3.11,0.05
L3.12,0.05
L3.13,0.05
L3.14,0.05
L3.15,0.05
L3.16,0.05
L3.17,0.05
L3.18,0.05
L3.19,0.05
L3.20,0.05
L4.1,0.05
L4.2,0.05
L4.3,0.05
L4.4,0.05
L4.5,0.05
L4.6,0.05
L4.7,0.05
L4.8,0.05
L4.9,0.05
L4.10,0.05
L4.11,0.05
L4.12,0.05
L4.13,0.05
L4.14,0.05
L4.15,0.05
L4.16,0.05
L4.17,0.05
L4.18,0.05
L4.19,0.05
L4.20,0.05
L5.1,0.05
L5.2,0.05
L5.3,0.05
L5.4,0.05
L5.5,0.05
L5.6,0.05
L5.7,0.05
L5.8,0.05
L5.9,0.05
L5.10,0.05
L5.11,0.05
L5.12,0.05
L5.13,0.05
L5.14,0.05
L5.15,0.05
L5.16,0.05
L5.17,0.05
L5.18,0.05
L5.19,0.05
L5.20,0.05
L6.1,0.05
L6.2,0.05
L6.3,0.05
L6.4,0.05
L6.5,0.05
L6.6,0.05
L6.7,0.05
L6.8,0.05
L6.9,0.05
L6.10,0.05
L6.11,0.05
L6.12,0.05
L6.13,0.05
L6.14,0.05
L6.15,0.05
L6.16,0.05
L6.17,0.05
L6.18,0.05
L6.19,0.05
L6.20,0.05
L7.1,0.05
L7.2,0.05
L7.3,0.05
L7.4,0.05
L7.5,0.05
L7.6,0.05
L7.7,0.05
L7.8,0.05
L7.9,0.05
L7.10,0.05
L7.11,0.05
L7.12,0.05
L7.13,0.05
L7.14,0.05
L7.15,0.05
L7.16,0.05
L7.17,0.05
L7.18,0.05
L7.19,0.05
L7.20,0.05
L8.1,0.05
L8.2,0.05
L8.3,0.05
L8.4,0.05
L8.5,0.05
L8.6,0.05
L8.7,0.05
L8.8,0.05
L8.9,0.05
L8.10,0.05
L8.11,0.05
L8.12,0.05
L8.13,0.05
L8.14,0.05
L8.15,0.05
L8.16,0.05
L8.17,0.05
L8.18,0.05
L8.19,0.05
L8.20,0.05
L9.1,0.05
L9.2,0.05
L9.3,0.05
L9.4,0.05
L9.5,0.05
L9.6,0.05
L9.7,0.05
L9.8,0.05
L9.9,0.05
L9.10,0.05
L9.11,0.05
L9.12,0.05
L9.13,0.05
L9.14,0.05
L9.15,0.05
L9.16,0.05
L9.17,0.05
L9.18,0.05
L9.19,0.05
L9.20,0.05
L10.1,0.05
L10.2,0.05
L10.3,0.05
L10.4,0.05
L10.5,0.05
L10.6,0.05
L10.7,0.05
L10.8,0.05
L10.9,0.05
L10.10,0.05
L10.11,0.05
L10.12,0.05
L10.13,0.05
L10.14,0.05
L10.15,0.05
L10.16,0.05
L10.17,0.05
L10.18,0.05
L10.19,0.05
L10.20,0.05
L11.1,0.05
L11.2,0.05
L11.3,0.05
L11.4,0.05
L11.5,0.05
L11.6,0.05
L11.7,0.05
L11.8,0.05
L11.9,0.05
L11.10,0.05
L11.11,0.05
L11.12,0.05
L11.13,0.05
L11.14,0.05
L11.15,0.05
L11.16,0.05
L11.17,0.05
L11.18,0.05
L11.19,0.05
L11.20,0.05
L12.1,0.05
L12.2,0.05
L12.3,0.05
L12.4,0.05
L12.5,0.05
L12.6,0.05
L12.7,0.05
L12.8,0.05
L12.9,0.05
L12.10,0.05
L12.11,0.05
L12.12,0.05
L12.13,0.05
L12.14,0.05
L12.15,0.05
L12.16,0.05
L12.17,0.05
L12.18,0.05
L12.19,0.05
L12.20,0.05
L13.1,0.05
L13.2,0.05
L13.3,0.05
L13.4,0.05
L13.5,0.05
L13.6,0.05
L13.7,0.05
L13.8,0.05
L13.9,0.05
L13.10,0.05
L13.11,0.05
L13.12,0.05
L13.13,0.05
L13.14,0.05
L13.15,0.05
L13.16,0.05
L13.17,0.05
L13.18,0.05
L13.19,0.05
L13.20,0.05
L14.1,0.05
L14.2,0.05
L14.3,0.05
L14.4,0.05
L14.5,0.05
L14.6,0.05
L14.7,0.05
L14.8,0.05
L14.9,0.05
L14.10,0.05
L14.11,0.05
L14.12,0.05
L14.13,0.05
L14.14,0.05
L14.15,0.05
L14.16,0.05
L14.17,0.05
L14.18,0.05
L14.19,0.05
L14.20,0.05
L15.1,0.05
L15.2,0.05
L15.3,0.05
L15.4,0.05
L15.5,0.05
L15.6,0.05
L15.7,0.05
L15.8,0.05
L15.9,0.05
L15.10,0.05
L15.11,0.05
L15.12,0.05
L15.13,0.05
L15.14,0.05
L15.15,0.05
L15.16,0.05
L15.17,0.05
L15.18,0.05
L15.19,0.05
L15.20,0.05
L16.1,0.05
L16.2,0.05
L16.3,0.05
L16.4,0.05
L16.5,0.05
L16.6,0.05
L16.7,0.05
L16.8,0.05
L16.9,0.05
L16.10,0.05
L16.11,0.05
L16.12,0.05
L16.13,0.05
L16.14,0.05
L16.15,0.05
L16.16,0.05
L16.17,0.05
L16.18,0.05
L16.19,0.05
L16.20,0.05
L17.1,0.05
L17.2,0.05
L17.3,0.05
L17.4,0.05
L17.5,0.05
L17.6,0.05
L17.7,0.05
L17.8,0.05
L17.9,0.05
L17.10,0.05
L17.11,0.05
L17.12,0.05
L17.13,0.05
L17.14,0.05
L17.15,0.05
L17.16,0.05
L17.17,0.05
L17.18,0.05
L17.19,0.05
L17.20,0.05
L18.1,0.05
L18.2,0.05
L18.3,0.05
L18.4,0.05
L18.5,0.05
L18.6,0.05
L18.7,0.05
L18.8,0.05
L18.9,0.05
L18.10,0.05
L18.11,0.05
L18.12,0.05
L18.13,0.05
L18.14,0.05
L18.15,0.05
L18.16,0.05
L18.17,0.05
L18.18,0.05
L18.19,0.05
L18.20,0.05
L19.1,0.05
L19.2,0.05
L19.3,0.05
L19.4,0.05
L19.5,0.05
L19.6,0.05
L19.7,0.05
L19.8,0.05
L19.9,0.05
L19.10,0.05
L19.11,0.05
L19.12,0.05
L19.13,0.05
L19.14,0.05
L19.15,0.05
L19.16,0.05
L19.17,0.05
L19.18,0.05
L19.19,0.05
L19.20,0.05
L20.1,0.05
L20.2,0.05
L20.3,0.05
L20.4,0.05
L20.5,0.05
L20.6,0.05
L20.7,0.05
L20.8,0.05
L20.9,0.05
L20.10,0.05
L20.11,0.05
L20.12,0.05
L20.13,0.05
L20.14,0.05
L20.15,0.05
L20.16,0.05
L20.17,0.05
L20.18,0.05
L20.19,0.05
L20.20,0.05
